"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","2.2nF","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C2,C3,C4","3","1μF","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C13,C14,C15,C16,C17,C20,C21","7","0.1μF","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C18,C19","2","47μF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"CRS1,FIN1,PW1","3","100K","","","","Potentiometer_THT:Potentiometer_Alps_RK09L_Single_Vertical","~"
"D1","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","~"
"D2,D3","2","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D10,D11","2","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"FM1","1","1M","","","","Potentiometer_THT:Potentiometer_Alps_RK09L_Single_Vertical","~"
"H1,H2,H3,H4,H5,H6,H7,H8","8","~","","Excluded from BOM","","MountingHole:MountingHole_2.7mm_M2.5","~"
"J1","1","CV","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J2","1","FM","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J3","1","SAW","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J4","1","PWM","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J5","1","PUL","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J6","1","TRI","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J7","1","1x9 f","","","","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"J8","1","1x9 m","","","","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","~"
"J9","1","1x4 f","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J10","1","1x4 m","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J11,J15","2","1x6 f","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J12,J16","2","1x6 m","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J13","1","1x2 f","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"J14","1","1x2 m","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J85","1","Eurorack Conn.","","","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"PWM_LVL1","1","250K","","","","Potentiometer_THT:Potentiometer_Alps_RK09L_Single_Vertical","~"
"Q1","1","BC558","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"Q2","1","BC548","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1","1","100k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R2","1","33K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R3,R4,R6,R7,R14,R17","6","100K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R5,R9","2","1M","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R8","1","1K5","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R10,R11","2","100K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R12","1","47K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R13","1","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R15,R18","2","68K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R16","1","14K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R19","1","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R20","1","200K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R22","1","10K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R23","1","20K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R24","1","200K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~"
"R73,R74","2","10","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"RV4","1","1K","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"RV19","1","10K","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"TH1,TH2,TH3,TH4","4","10K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"TP1","1","A1","","","","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","~"
"TP2","1","B1","","","","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","~"
"TP3","1","C1","","","","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","~"
